#1c8064
#3078c0
#3080c8
#80d0e8
#9898c0
#0080e8
#f8e8f8
#f8e8e0
#000050
#f8609c
#8894ec
#300000
#f858a0
#c49c8c
#a45800
#0098e8
#a0b0f8
#60d0f8
#e4b04c
#60d0dc
#3880b0
#90e4f8
#bce4e8
#e48c58
#3464b8
#e0c078
#f8282c
#d40014
#8890b0
#205870
#58a4e0
#f8e0e8
#f884d8
#3474ec
#985824
#583c20
#e8d898
#00a8e8
#c0802c
#181400
#543018
#4868a8
#4860a8
#004074
#001880
#748cec
#88c8f8
#d86418
#60a8e0
#884848
#884048
#301800
#f8e0a8
#90f0f8
#8cdccc
#885848
#f8d8b0
#e0a868
#e08c68
#f8c888
#a48868
#a86848
#783848
#a42820
#4888c8
#5470c0
#a4dc78
#c4c4e8
#684848
#7090a4
#30ccdc
#484868
#48487c
#c88848
#78c0f8
#f8f8bc
#003c20
#0080f8
#5c78ec
#c890c8
#848854
#1858a4
#548074
#00a8f8
#e4d078
#94ccf8
#f890a0
#f8f8e0
#a4d4e4
#000038
#3890d8
#38a0c0
#d89038
#c87838
#4078c8
#f8e8a8
#003890
#c8a458
#903800
#904800
#d0804c
#002490
#004890
#600000
#90b8ec
#9ce0f8
#38a8d8
#28a0ec
#4c3890
#284074
#901814
#60b0f0
#685448
#60b0f8
#b06000
#b89000
#00001c
#b0580c
#f87878
#f86080
#40b4ec
#c44448
#208c98
#f8d890
#f8d888
#dc8418
#c4dccc
#f8d898
#000058
#f8e0b0
#000060
#0060b0
#f87c3c
#f8b060
#0060d8
#f8e4a0
#0c58c0
#380000
#b0f8f8
#484888
#903838
#4c0000
#b49454
#441c00
#f8f8b0
#f8f898
#002c58
#f8b074
#f8b450
#c8f8f8
#90d8f8
#808080
#80a880
#6088d8
#f8f8d8
#1c1824
#5ca4f0
#700000
#88d8f8
#b07830
#5c3478
#c09080
#9c841c
#f8e494
#0070e8
#b88c74
#f89078
#c0f8f8
#c4dcf8
#1488c4
#68a8e0
#680000
#780000
#0070f8
#701c00
#0064ec
#f8d0e8
#f8cca0
#f8f8c8
#f8d0f8
#f8d4d4
#342858
#f8bce0
#509ca8
#0058e0
#481420
#a8e0f8
#f8cc70
#f85000
#303030
#303014
#30303c
#0058e8
#7c3018
#1c6020
#5ca800
#70a800
#00a8e0
#88381c
#885818
#885810
#885830
#884040
#f85c00
#f82c88
#88a800
#484848
#202848
#587020
#0098f8
#584c48
#00b4f0
#681420
#58a0c4
#70c0f8
#d43020
#70d8f8
#d8e4e8
#60e0f8
#3038cc
#e0e0e0
#e8d0e8
#e8c8c8
#70a820
#e8e8e8
#f0e8e8
#e0f8f8
#e4f0d4
#000000
#000040
#686868
#e0b868
#e0a85c
#ac30a4
#e8e0e8
#00a038
#60b8f4
#f80000
#f8e8c8
#f80034
#f8dcf4
#00c0f8
#00c0d0
#e0f8c0
#e8dcc0
#00c8f8
#e08840
#f8e8b4
#e8f8c0
#e4f89c
#d8f8f8
#c4a0f8
#f8f8ec
#f8f0f4
#ecf4f4
#ffffff
