#f8e8e0
#e86858
#d0d0b8
#c8c0ac
#c8c0b8
#2c3c68
#b0b0a8
#d0d0c8
#504848
#807874
#844c68
#e04024
#68c868
#ece8e8
#484848
#b88868
#343038
#b0a874
#907868
#d8d0c8
#f8382c
#a07c90
#505050
#ecb8e0
#b4b8b0
#080830
#50505c
#68685c
#c4c8e0
#203044
#987c98
#040004
#c8acbc
#848080
#a8a094
#a8a8b0
#40484c
#404040
#e8d8bc
#f86470
#a07888
#849088
#f0f0d8
#4c8470
#685c5c
#f8f898
#c4e0ac
#100804
#dce0ec
#d8e0d8
#504850
#f8bcc8
#c0a8ac
#18283c
#c8c8b8
#d0c8b8
#746868
#f8b4b4
#40404c
#f8584c
#e84468
#c4b0e0
#2c1c20
#e8f4d8
#58848c
#846080
#d8e0d0
#b4a4a0
#b0a06c
#84282c
#d8d0bc
#443838
#2840b0
#e8e0d8
#e8e0d0
#c0acbc
#c0c8bc
#848c64
#e0e0d8
#58585c
#b0a898
#64345c
#987480
#e0e0d0
#847860
#100810
#74685c
#607434
#c0c0ac
#202810
#442444
#444828
#40585c
#886488
#a8a0b0
#c87898
#f89c80
#988868
#e0d0c8
#886c90
#b4b8a4
#f8e0c8
#d8cc64
#c8c0c0
#c8c8c0
#e8e8cc
#484850
#20541c
#040810
#ecf4cc
#4c8068
#d8d8c8
#e04838
#dcb4e0
#544828
#d4e8bc
#987890
#f8e8d8
#b8b0a8
#d0c8c0
#987888
#d0e8c8
#d8d8d0
#545030
#f0f8f0
#f0e0d8
#3c4070
#f8d078
#28305c
#20301c
#441c18
#b4b8bc
#c0b8ac
#2c1c18
#b45068
#88cce0
#907480
#508478
#040c04
#f0f0e8
#d0d0c0
#d0b4e0
#f84058
#70ccb0
#585050
#f8d8c8
#484040
#e0d8c8
#b4b0a0
#60585c
#e8e8e0
#0c1c34
#f0f0e0
#e8f4e8
#f8c0e4
#dcf0d8
#908c68
#745c5c
#e0c0ac
#6c4868
#f868a4
#e04048
#e8f4e0
#f0f0f4
#b4a094
#280810
#bc3030
#e8e8d8
#887874
#1c1c08
#c0c0bc
#444024
#e8f4f4
#909088
#f0e0d0
#cc7890
#e0d8d0
#849080
#6848b4
#dcd8e8
#e02c30
#f8d0c8
#343048
#a0c86c
#f8f0e8
#ece0c8
#847068
#e8d0bc
#58484c
#b4b0b8
#c4e4e0
#f0e8cc
#48404c
#dcacac
#e8686c
#54202c
#ecd8e0
#280804
#f8844c
#447c5c
#34283c
#cc7088
#f0e8e0
#788470
#f8d8b4
#f8f8d8
#f0f8e8
#b4a4b4
#e4c8bc
#f0e8d8
#d8cca0
#987430
#ece8f4
#443848
#dcf0d0
#f8f0e0
#68505c
#c4e4bc
#2c1c3c
#a8d4b0
#748468
#f8f0d8
#886cc8
#848c78
#dcecc8
#e0b0bc
#f89cb4
#f8e8ec
#dcd0e4
#547830
#c87080
#f0f8e0
#b0d474
#280834
#70845c
#d0e4e4
#e0e0ac
#447030
#f0f8d8
#f8f8e0
#e48868
#f8ecc8
#ece0ec
#b4dcb0
#285c48
#5484cc
#dcf0ec
#f8f8e8
#e07038
#e8ecbc
#f8f0f0
#c478cc
#f8d0f8
#f8f8f0
#f0f8f8
#f8f8f8
